EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T10:49:31.000,2040008594
2005-01-14T10:49:33.000,2040008595
2005-01-14T10:49:35.000,2040008596
2005-01-14T10:49:37.000,2040008596
2005-01-14T10:49:39.000,2040008597
2005-01-14T10:49:41.000,2040008597
2005-01-14T10:49:43.000,2040008596
2005-01-14T10:49:45.000,2040008596
2005-01-14T10:49:47.000,2040008595
2005-01-14T10:49:49.000,2040008595
2005-01-14T10:49:51.000,2040008596
2005-01-14T10:49:53.000,2040008596
2005-01-14T10:49:55.000,2040008596
2005-01-14T10:49:57.000,2040008595
2005-01-14T10:49:59.000,2040008595
2005-01-14T10:50:01.000,2040008595
2005-01-14T10:50:03.000,2040008596
2005-01-14T10:50:05.000,2040008595
2005-01-14T10:50:07.000,2040008596
2005-01-14T10:50:09.000,2040008595
2005-01-14T10:50:11.000,2040008595
2005-01-14T10:50:13.000,2040008594
2005-01-14T10:50:15.000,2040008594
2005-01-14T10:50:17.000,2040008594
2005-01-14T10:50:19.000,2040008594
2005-01-14T10:50:21.000,2040008593
2005-01-14T10:50:23.000,2040008593
2005-01-14T10:50:25.000,2040008593
2005-01-14T10:50:27.000,2040008592
2005-01-14T10:50:29.000,2040008592
2005-01-14T10:50:31.000,2040008593
2005-01-14T10:50:33.000,2040008592
2005-01-14T10:50:35.000,2040008593
2005-01-14T10:50:37.000,2040008592
2005-01-14T10:50:39.000,2040008591
2005-01-14T10:50:41.000,2040008591
2005-01-14T10:50:43.000,2040008591
2005-01-14T10:50:45.000,2040008590
2005-01-14T10:50:47.000,2040008590
2005-01-14T10:50:49.000,2040008591
2005-01-14T10:50:51.000,2040008590
2005-01-14T10:50:53.000,2040008590
2005-01-14T10:50:55.000,2040008590
2005-01-14T10:50:57.000,2040008590
2005-01-14T10:50:59.000,2040008591
2005-01-14T10:51:01.000,2040008592
2005-01-14T10:51:03.000,2040008592
2005-01-14T10:51:05.000,2040008591
2005-01-14T10:51:07.000,2040008590
2005-01-14T10:51:09.000,2040008589
2005-01-14T10:52:23.000,2040008571
2005-01-14T10:52:25.000,2040008571
2005-01-14T10:52:27.000,2040008571
2005-01-14T10:52:29.000,2040008571
2005-01-14T10:52:31.000,2040008572
2005-01-14T10:52:33.000,2040008571
2005-01-14T10:52:35.000,2040008571
2005-01-14T10:52:37.000,2040008571
2005-01-14T10:52:39.000,2040008570
2005-01-14T10:52:41.000,2040008569
2005-01-14T10:52:43.000,2040008569
2005-01-14T10:52:45.000,2040008569
2005-01-14T10:52:47.000,2040008568
2005-01-14T10:52:49.000,2040008567
2005-01-14T10:52:51.000,2040008566
2005-01-14T10:52:53.000,2040008565
2005-01-14T10:52:55.000,2040008564
2005-01-14T10:52:57.000,2040008566
2005-01-14T10:52:59.000,2040008564
2005-01-14T10:53:01.000,2040008564
2005-01-14T10:53:03.000,2040008563
2005-01-14T10:53:05.000,2040008563
2005-01-14T10:53:07.000,2040008563
2005-01-14T10:53:09.000,2040008562
2005-01-14T10:53:11.000,2040008561
2005-01-14T10:53:13.000,2040008561
2005-01-14T10:53:15.000,2040008561
2005-01-14T10:53:17.000,2040008560
2005-01-14T10:53:19.000,2040008559
2005-01-14T10:53:21.000,2040008558
2005-01-14T10:53:23.000,2040008558
2005-01-14T10:53:25.000,2040008557
2005-01-14T10:53:27.000,2040008556
2005-01-14T10:53:29.000,2040008557
2005-01-14T10:53:31.000,2040008556
2005-01-14T10:53:33.000,2040008556
2005-01-14T10:53:35.000,2040008555
2005-01-14T10:53:37.000,2040008555
2005-01-14T10:53:39.000,2040008554
2005-01-14T10:53:41.000,2040008554
2005-01-14T10:53:43.000,2040008554
2005-01-14T10:53:45.000,2040008555
2005-01-14T10:53:47.000,2040008554
2005-01-14T10:53:49.000,2040008554
2005-01-14T10:53:51.000,2040008553
2005-01-14T10:53:53.000,2040008553
2005-01-14T10:53:55.000,2040008551
2005-01-14T10:53:57.000,2040008551
2005-01-14T10:53:59.000,2040008550
2005-01-14T10:54:01.000,2040008551
2005-01-14T10:54:03.000,2040008550
2005-01-14T10:54:05.000,2040008549
2005-01-14T10:54:07.000,2040008549
2005-01-14T10:55:29.000,2040008535
2005-01-14T10:55:31.000,2040008534
2005-01-14T10:55:33.000,2040008533
2005-01-14T10:55:35.000,2040008533
2005-01-14T10:55:37.000,2040008533
2005-01-14T10:55:39.000,2040008532
2005-01-14T10:55:41.000,2040008532
2005-01-14T10:55:43.000,2040008531
2005-01-14T10:55:45.000,2040008530
2005-01-14T10:55:47.000,2040008529
2005-01-14T10:55:49.000,2040008528
2005-01-14T10:55:51.000,2040008527
2005-01-14T10:55:53.000,2040008527
2005-01-14T10:55:55.000,2040008526
2005-01-14T10:55:57.000,2040008527
2005-01-14T10:55:59.000,2040008527
2005-01-14T10:56:01.000,2040008527
2005-01-14T10:56:03.000,2040008526
2005-01-14T10:56:05.000,2040008526
2005-01-14T10:56:07.000,2040008526
2005-01-14T10:56:09.000,2040008525
2005-01-14T10:56:11.000,2040008525
2005-01-14T10:56:13.000,2040008525
2005-01-14T10:56:15.000,2040008524
2005-01-14T10:56:17.000,2040008523
2005-01-14T10:56:19.000,2040008522
2005-01-14T10:56:21.000,2040008522
2005-01-14T10:56:23.000,2040008521
2005-01-14T10:56:25.000,2040008521
2005-01-14T10:56:27.000,2040008520
2005-01-14T10:56:29.000,2040008519
2005-01-14T10:56:31.000,2040008519
2005-01-14T10:56:33.000,2040008519
2005-01-14T10:56:35.000,2040008519
2005-01-14T10:56:37.000,2040008518
2005-01-14T10:56:39.000,2040008517
2005-01-14T10:56:41.000,2040008516
